GEOID,nearest_miles,area_type,threshold_mi,is_desert,SVI,in_mua
12061050908,16.57335068951631,rural,10.0,True,0.5145,True
12013010200,16.565361030042435,rural,10.0,True,0.8756,True
12097043801,16.518747852683894,rural,10.0,True,0.8307,True
12037970302,16.472491122839674,rural,10.0,True,0.9017,True
12123950402,16.389502754439846,rural,10.0,True,0.8062,True
12065250106,16.36806183566584,rural,10.0,True,0.7439,True
12005002708,16.187637883868025,rural,10.0,True,0.7407,False
12003040201,16.106930581792625,rural,10.0,True,0.6188,True
12023110300,15.991344298124822,rural,10.0,True,0.9138,True
12123950201,15.92676426739426,rural,10.0,True,0.8062,True
12065250105,15.841252908132823,rural,10.0,True,0.7439,True
12087970500,15.636160867431615,rural,10.0,True,0.6822,True
12086011500,15.595725806056295,rural,10.0,True,0.881,True
12071090100,15.581259912072838,rural,10.0,True,0.7086,True
12113010100,15.31100648613585,rural,10.0,True,0.3213,True
12015010100,15.277415858309237,rural,10.0,True,0.5953,True
12085990100,15.182929849193226,rural,10.0,True,0.4642,True
12043000300,15.065410659187403,rural,10.0,True,0.9058,True
12055980100,15.044095313652123,rural,10.0,True,0.8673,True
12087970600,14.998438233481535,rural,10.0,True,0.6822,True
12005002709,14.982996618539088,rural,10.0,True,0.7407,True
12071080100,14.85357181891541,rural,10.0,True,0.7086,True
12011980000,14.71913275031756,rural,10.0,True,0.7814,True
12047960202,14.482595246112846,rural,10.0,True,0.9803,True
12029970201,14.437733784660667,rural,10.0,True,0.7719,True
12073002702,14.400670822917913,rural,10.0,True,0.6952,True
12087972500,14.314889989844334,rural,10.0,True,0.6822,True
12083980000,14.308178949503237,rural,10.0,True,0.8196,True
12083000606,14.176014643049275,rural,10.0,True,0.8196,True
12083000502,14.118578927300577,rural,10.0,True,0.8196,True
12051000300,13.941559600389185,rural,10.0,True,0.9946,True
12033003800,13.930259955599077,rural,10.0,True,0.839,True
12069030102,13.9100987314058,rural,10.0,True,0.6214,True
12043000201,13.850247776798385,rural,10.0,True,0.9058,True
12133970301,13.796890136001522,rural,10.0,True,0.8043,True
12105015702,13.78045957901059,rural,10.0,True,0.8912,True
12075970700,13.760010364480024,rural,10.0,True,0.7582,True
12037970102,13.708566352094998,rural,10.0,True,0.9017,True
12131950102,13.670042125267864,rural,10.0,True,0.6287,True
12055961000,13.65176807804601,rural,10.0,True,0.8673,True
12021011208,13.543866205736144,rural,10.0,True,0.6141,True
12087971600,13.411855074284956,rural,10.0,True,0.6822,True
12119980000,13.397628788137913,rural,10.0,True,0.3026,True
12091020200,13.297520244591016,rural,10.0,True,0.5266,True
